study_key,pmid,doi,year,title,study_design,design_detail,appraisal_instrument,appraisal_basis,n_readers,n_subjects,reader_subset_verified,rob_patient_selection,rob_patient_selection_evidence,rob_patient_selection_rationale,rob_index_test,rob_index_test_evidence,rob_index_test_rationale,rob_reference_standard,rob_reference_standard_evidence,rob_reference_standard_rationale,rob_flow_timing,rob_flow_timing_evidence,rob_flow_timing_rationale,app_patient_selection,app_patient_selection_evidence,app_patient_selection_rationale,app_index_test,app_index_test_evidence,app_index_test_rationale,app_reference_standard,app_reference_standard_evidence,app_reference_standard_rationale,repro_code_available,repro_code_evidence,repro_public_dataset,repro_dataset_evidence,repro_benchmark,repro_reference_standard,repro_sampling,repro_centres,repro_sampling_evidence,repro_ethics_stated,rater_status,reviewer_1,reviewer_2,reviewer_3,consensus_note
S122,39212832,10.1007/s10334-024-01200-8,2025,Deep learning for efficient reconstruction of highly accelerated 3D FLAIR MRI in neurological deficits,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,full text,3,62,yes,Low,Patient data were consecutively acquired on a 3 T Philips Ingenia Elition scanner equipped with a 32-channel head coil between 08/2021 and 02/2023.,"Consecutive acquisition of routine clinical scans over a defined period, with a documented and diagnosis-independent exclusion of five motion-degraded cases.",Low,"The order of the reconstruction methods was randomized, and the raters remained unaware of the method used and the patients' clinical information.","Reconstruction identity was randomised and concealed from all three raters, who were also blinded to clinical information.",High,"For the prospectively acquired patient data, no ground truth data were available, and comparisons with clinically used CS reconstructions prohibited an assessment of changes in diagnosis.","No fully sampled reference exists; the comparator is a compressed-sensing reconstruction of the same 12-fold undersampled data, so the reference cannot establish whether diagnostic content was preserved.",Low,"Five subjects were discarded due to excessive motion artifacts, in which there was no exclusion bias toward a particular diagnostic label, resulting in a dataset of fifty-seven (n = 57) subjects.","Both reconstructions derive from identical raw k-space so the interval is zero, all remaining subjects received the same comparator, and withdrawals are fully accounted for.",Low,"All patients included in this study (n = 62, 34 females) came to the hospital as part of the clinical routine, including patients with stroke (n = 8)","A heterogeneous routine clinical cohort with stroke, multiple sclerosis and tumours matches the review's target population.",Low,Twelve-fold accelerated 3D T2-FLAIR images were obtained from a cohort of 62 patients with neurological deficits on 3 T MRI.,A physics-informed deep-learning reconstruction of highly accelerated prospectively undersampled brain data is precisely the index test of interest.,High,Compressed sensing (CS) is the reference reconstruction method used in the clinic to which we compare our CIRIM method.,"The reference is another accelerated reconstruction rather than a fully sampled acquisition, so preserved diagnostic content cannot be verified against a true standard.",yes,econstruction times. Model parameters were initialized randomly. The code is available online at https://​github.​com/​ wdika/​atomm​ic. Reconstruction time,yes,"ans, including scans with white matter lesions, were adopted from the FastMRI database to evaluate structural similarity (SSIM) and the CR of lesio",FastMRI;fastMRI,Fully sampled acquisition,both stated,multi-centre,acute ischaemic stroke within 4·5 h of symptom onset (PRE-FLAIR): a multicentre observational study. Lancet Neurol 10(11):978–986. https://​doi.​org,yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S123,,10.1007/s10916-025-02300-1,2025,Diffusion Models for Neuroimaging Data Augmentation: Assessing Realism and Clinical Relevance,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,ed the following steps: Dataset Type Subjects Target Population Ref. ADNI (Alzheimer’s Disease Neuroim­ aging Initiative) Longitudinal 819 Mild,ADNI;OASIS;Oasis;oasis,Expert reader consensus,not stated,multi-centre,"nd structural fidelity, we propose a generative pipeline trained on a multicenter dataset of healthy subjects. The model suggests the potential to prod",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S124,40065646,10.1002/mrm.30482,2025,Elastographic magnetization prepared imaging with rapid encoding,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Fully sampled acquisition,both stated,not stated,"Additionally, we obtained displacement fields with high OSS-SNR with retrospective sampling and differences in average stiffness properties (NRMSE) of",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S125,39898398,10.3348/kjr.2024.0701,2025,Evaluation of Image Quality and Scan Time Efficiency in Accelerated 3D T1-Weighted Pediatric Brain MRI Using Deep Learning-Based Reconstruction,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,full text,3,46,yes,Unclear,"although we consecutively enrolled pediatric patients who underwent brain MRI during a specified period, there may have been a selection bias associated with the retrospective design of this study",Consecutive enrolment is claimed but the sample was deliberately capped at the minimum number the institution deemed necessary and the authors concede possible selection bias.,Low,Readers were also blinded to the MRI acquisition parameters and sequence identifiers.,"The three qualitative readers scored a randomised mixture of conventional, accelerated and deep-learning reconstructions while blinded to sequence identity.",High,"For the qualitative analysis of lesion conspicuity, only images with visible lesions on conventional pre- and post-contrast T1-weighted examinations were included.","Lesion truth is defined by the comparator images themselves and readers were given lesion locations in advance, producing incorporation bias; the conventional protocol is also already accelerated rather than fully sampled.",Low,"For the quantitative analysis of MRI quality obtained using pre-contrast T1-weighted image sequences, three patients were excluded due to severe postoperative tissue defects (n = 1) or hypomyelination disease (n = 2).","All three image sets were obtained in the same examination so the interval is zero, and every exclusion is enumerated in a flow chart with all 46 patients retained for qualitative analysis.",Low,"In total, 46 patients (20 male and 26 female) with a mean age of 7.4 years (age range: 5 months to 16 years) were included.","A clinical paediatric brain MRI population with varied indications is a relevant, if age-specific, target group for accelerated reconstruction.",Low,images acquired using the accelerated acquisition protocol were reconstructed using intensity Filter A and a DL-based reconstruction algorithm (AIRTM Recon DL; GE HealthCare),A commercial deep-learning reconstruction applied to prospectively accelerated 3D T1 acquisitions matches the review's index test.,Low,"All images acquired using the conventional acquisition protocol were reconstructed using intensity Filter A (i.e., slight sharpening and smoothing) reconstruction (ClariView; GE HealthCare)","The institution's standard-of-care conventional protocol acquired in the same session, read by radiologists, is the review's intended comparator.",not stated,,yes,"der B, Radmanesh A, Kim S, Jeong G, Ko J, et al. Results of the 2020 fastMRI challenge for machine learning MR image reconstruction. IEEE Trans M",fastMRI,Fully sampled acquisition,both stated,both stated,ut arterial phase hyperenhancement at gadoxetic acid-enhanced MRI: a multicenter study. Radiology 2020;296:335-345 26. McHugh ML. Interrater reliabil,yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S126,39690114,10.1002/jmri.29672,2025,Incorporating Radiologist Knowledge Into MRI Quality Metrics for Machine Learning Using Rank-Based Ratings,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,full text,7,,yes,Unclear,"In the ranking part of this study we included axial T1, T1 post-contrast, T2, and T2FLAIR 2D images (N = 378, 428, 1894, and 216, respectively) from the fastMRI Initiative neuro database.","Slices were drawn from a public database with no stated patient-level sampling rule, no demographics and no description of how cases were chosen.",Low,A total of 2916 corrupted image pairs were shown to radiologists with random repeats and random left/right ordering on a HTML page.,"The ranking task was randomised with concealed left/right ordering and repeat presentations, and readers were given no cues about the corruption applied.",Unclear,Image ranking was subjective with a high level of intraobserver agreement ( 94.9 % ± 2.4 % ) and lower interobserver agreement ( 61.47 % ± 5.51 % ),"Fully sampled k-space provides a sound image reference, but the radiologist consensus ranking used as the human reference standard showed only moderate interobserver agreement.",High,"considering the difference in their time commitment, the numbers of rankings from readers varied, which may introduce bias in the majority vote.","Image pairs did not all receive the same reference standard because readers contributed very unequal numbers of rankings and could skip pairs, biasing the consensus label.",Unclear,The study is retrospective only and the dataset only consisted of axial brain scans.,"The scans are real clinical brain MRI but no clinical indications, pathology prevalence or patient characteristics are reported, so population match cannot be judged.",Low,We undersampled the multichannel k-space data by Poisson disc with an acceleration factor of 16X.,Model-based deep-learning reconstruction of 8-fold and 16-fold undersampled brain k-space is directly within the review's index test.,High,"Synthetically corrupted image pairs were ranked by radiologists (N = 7), with a subset also scoring images using a Likert scale (N = 2).","Radiologists judged synthetically corrupted images rather than the accelerated reconstructions themselves, which were compared to the fully sampled reference by automated metrics only.",yes,us quality metric. All DL networks were implemented in PyTorch29 with code available: https://github.com/ uwmri/LearnedImagingMetrics. Images for Ranking,yes,"N: A total of 19,344 rankings on 2916 unique image pairs from the NYU fastMRI Initiative neuro database was used for the neural network-based image",fastMRI;fastmri,Fully sampled acquisition,both stated,multi-centre,"Davidzon GA, et al. Low-count whole-body PET with deep learning in a multicenter and externally validated study. npj Digit Med 2021;4:1-11. 2. Sanaat",yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S127,40545734,10.1002/nbm.70079,2025,Insights on Scan-Specific Deep-Learning Strategies for Brain MRI Parallel Imaging Reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,d. Qualitative and quantitative comparisons are performed both on the FastMRI and in-house multi-contrasts 2D data. The proposed objective grid-sea,FastMRI;fastMRI;fastmri,Fully sampled acquisition,both stated,not stated,"trategy based on ACS successfully provided optimized hyperparameters, retrospectively validated by enhanced image quality metrics. Notably, it is shown",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S128,40112563,10.1016/j.compbiomed.2025.110005,2025,Intersection-based slice motion estimation for fetal brain imaging,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"cost func- tion, facilitating the reproducibility of the method. The code is available at: https://github.com/rousseau/pyrecon. Moreover, this work proposes",yes,"i, T., Arulkumaran, S., et al., 34 ### Page 36 2022. The developing human connectome project neonatal data release. Frontiers in neuroscience 16, 886772.",human connectome,Stated ground truth (unspecified),retrospective,multi-centre,", 2024. Assessing data qual- ity on fetal brain mri reconstruction: a multi-site and multi-rater study, in: International Workshop on Preterm, Perinat",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S129,39834104,10.1002/mrm.30440,2025,Learning-based motion artifact correction in the Z-spectral domain for chemical exchange saturation transfer MRI,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Expert reader consensus,both stated,not stated,"o distinguish CEST signals from motion artifacts. Previously, several retrospective motion correction techniques for CEST MRI have been proposed. The is",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S130,39947682,10.3174/ajnr.a8566,2025,Leveraging Physics-Based Synthetic MR Images and Deep Transfer Learning for Artifact Reduction in Echo-Planar Imaging,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Stated ground truth (unspecified),retrospective,both stated,"te-specific data set. To address this, future work should incorporate multi-center data sets, encompassing a broader range of scanner types (e.g., 1.5T",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S131,39846325,10.1002/hbm.26806,2025,Measuring the effects of motion corruption in fetal fMRI,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,ate alternative regression strategies for mitigating this impact. The code is publicly available at: https://github.com/cirmuw/fetalfMRIproc. - Humans - Magnetic Reso,not stated,,,Stated ground truth (unspecified),not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S132,40691452,10.1038/s41598-025-08552-8,2025,Modified energy-based GAN for intensity in homogeneity correction in brain MR images,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,he data used to support the findings of this study are available from publicly available datasets. ​h​t​t​p​s​:​/​/​b​r​a​i​n​w​e​ b​.​b​i​c​.​m​n​i​.​m​c​g​i​l​l​,,Stated ground truth (unspecified),both stated,not stated,"C methods may be divided into two approaches, namely prospective, and retrospective methods. The prospective methods aim to calibrate and enhance the p",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S133,40309965,10.1002/hbm.70080,2025,Multi-Metric Approach for the Comparison of Denoising Techniques for Resting-State fMRI,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"sett. 2018. “Diversity of Meso-­ Scale Architecture in Human and Non-­human Connectomes.” Nature Communications 9, no. 1: 346. https://​doi.​org/​10.​1038/",human Connectome,Not stated,retrospective,not stated,"Glover, G. H., T. Q. Li, and D. Ress. 2000. “Image-­Based Method for Retrospective Correction of Physiological Motion Effects in fMRI: RETROICOR.” Mag",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S134,40679773,10.1007/s10334-025-01276-w,2025,Myelin water imaging from accelerated 3D-GRASE acquisitions using subspace constrained reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Fully sampled acquisition,both stated,multi-centre,"r B, Harris T, Fu E, Li DKB, Traboulsee AL, MacKay AL, Laule C (2013) Multicenter measurements of myelin water fraction and geometric mean _T_ 2 : Intr",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S135,,10.1007/978-3-031-72744-3_19,2025,Non-reference Quality Assessment for Medical Imaging: Application to Synthetic Brain MRIs,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,sets include 503 high-quality (distortion-free) reference images from ADNI [33] preprocessed using FreeSurfer [6]; 40 MRI scans from OASIS [19];,ADNI;BraTS;IXI;OASIS,Expert reader consensus,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S136,,10.1101/2025.04.30.651598,2025,PW-GAN: Pseudo-Warping Field Guided GAN for Unsupervised Denoising of Fetal Brain MRI Images,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Stated ground truth (unspecified),retrospective,multi-centre,"ickness Morphometry of Neonatal Brain and Systematic Evaluation Using Multi-Site MRI Datasets,"" (in English), Methods vol. Volume 15 - 2021, 2021-Mar",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S137,40064110,10.1088/1361-6560/adbed4,2025,Patient-specific MRI super-resolution via implicit neural representations and knowledge transfer,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"intumorsegmentation.org/. The knee dataset can be accessed at https://zenodo.org/records/10673359. ## **References** - [1]. Katti G, Ara SA, and Shireen A, “Magneti",yes,"inct clinical super-resolution tasks on the Brain Tumor Segmentation (BRATS) dataset. For Task 1, KT-INR achieved an average Structural Similarit",BRATS;brats,Stated ground truth (unspecified),not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S138,,10.1038/s41598-025-31958-3,2025,Probabilistic brain MR image transformation using generative models,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"ypical results for all possible image transformation types within the IXI and OASIS datasets, respectively. Each dataset contains three differ",BraTS;IXI;Ixi;OASIS;Oasis;brats;ixi,Stated ground truth (unspecified),not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S139,39780631,10.3348/kjr.2024.0653,2025,Prospective Evaluation of Accelerated Brain MRI Using Deep Learning-Based Reconstruction: Simultaneous Application to 2D Spin-Echo and 3D Gradient-Echo Sequences,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,full text,4,150,yes,Low,Patients who visited the neurology clinic between August 2022 and February were consecutively enrolled.,Prospective consecutive enrolment from a defined clinic population with explicit inclusion/exclusion criteria and random assignment to the three scanner vendors.,Low,"randomized datasets were presented for rating, with reconstruction methods and clinical information blinded by removing and anonymizing the DICOM headers.","Readers were blinded to the reconstruction method, cases were presented in randomized order, and the Likert scales were pre-specified.",Low,A typical randomized crossover design with a 4-week washout period was used [15].,"The conventional acquisition served as the standard-of-care reference and was read by the same blinded readers in a randomized crossover with washout, so reference reading was not informed by the index images.",Low,"The patients underwent both conventional and Accel-DL brain MRI protocols, including 2D axial T1WI, T2WI, T2-FLAIR, and 3D T1WI.",Every participant received both index and reference acquisitions in the same session (zero interval) and all 150 enrolled participants entered the final analysis.,High,"this prospective evaluation did not include patients with large lesions or structural distortions, such as acute hemorrhage, infarction, or tumors, highlighting the need for further research.",By design the cohort excluded acute focal deficits and the space-occupying pathologies most relevant to whether accelerated reconstruction preserves diagnostic content.,Low,A DICOM-based U-Net architecture was developed in a supervised manner and trained on numerous image pairs to transform low-quality images from undersampled k-space data into high-quality images,"The index test is a commercial deep-learning reconstruction of prospectively undersampled data giving ~39% scan-time reduction, directly matching the review question.",Low,Conventional and Accel-DL MRI images were obtained from each participant and compared using 2D T1- and T2-weighted and 3D gradient-echo sequences.,"The reference is the routine clinical (non-accelerated) acquisition read by neuroradiologists, which matches the review's reference-standard definition.",not stated,,not stated,,,Expert reader consensus,prospective,multi-centre,"T1-weighted brain MR images reconstructed with DL in a prospective, multicenter, multi-reader study. Although routine brain MRI typically includes",yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S140,40312865,10.1002/mrm.30537,2025,Quantitative susceptibility mapping in magnetically inhomogeneous tissues,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"chnique optimized for QSM, bi-parametric Joined Label Fusion (https://gitlab.com/R01NS114227/antsjointlabelfusion_bi parametric).48 To create WM ROIs, we used SynthSeg50 on the T1-weight",not stated,,,Stated ground truth (unspecified),prospective,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S141,39589491,10.1007/s00247-024-06088-z,2025,Rapid and motion-robust pediatric brain imaging: T2-weighted turbo-spin-echo PROPELLER acquisition with compressed sensing,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,full text,3,31,yes,Low,Participants were consecutively recruited from March to June 2022 and in November 2023.,"Prospective consecutive recruitment of children referred for clinically indicated brain MRI across a broad range of indications, with no case-control structure.",Low,"Three blinded radiologists with 10 years (rater 1), 6 years (rater 2), and 3 years (rater 3) of experience independently rated both sequences","Readers were stated to be blinded, rated independently, and used a pre-defined 5-point Likert scale with category definitions given in Table 2.",Low,"The T2PROPELLER CS sequence was compared to a conventional, CS-accelerated Cartesian turbo-spin-echo T2-weighted sequence (T2Cartesian CS).","The comparator is the routine clinical T2 sequence, rated by the same blinded independent readers, so reference interpretation was not informed by knowledge of the index result.",Low,The T2PROPELLER CS sequence was acquired before the T2Cartesian CS sequence for 4 of the anesthetized patients and after for the remaining patients.,"Both sequences were acquired in the same examination in the same orientation for every patient, and all 31 patients were analysed; only acquisition order varied.",Low,"Twenty-one of the 31 patients had lesions, including pre- and post-treatment astrocytic tumors such as pilocytic astrocytomas of the cerebellum","A real clinical brain-MRI population with a high prevalence of genuine pathology, appropriate for judging preservation of diagnostic content.",Low,"Enabling faster and motion-robust MRI of the brain in infants and children using a novel, enhanced compressed sensing (CS) algorithm in combination with a turbo-spin-echo T2-weighted sequence utilizing the PROPELLER-technique","The index test is an accelerated acquisition/reconstruction (31% shorter scan) evaluated in brain MRI, matching the review question.",Low,"Clinically, a Cartesian sampling scheme is most commonly employed for its robust data collection, practical implementation","The comparator is the standard-of-care clinical sequence permitted by the review definition, although it is itself CS-accelerated rather than fully sampled.",not stated,,not stated,,,Expert reader consensus,prospective,not stated,,yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S142,40534142,10.1002/mrm.30604,2025,"Rapid, high-resolution and distortion-free R 2 ∗ mapping of fetal brain using multi-echo radial FLASH and model-based reconstruction",Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,abstract + MeSH only,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Not stated,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S143,40240759,10.1038/s41598-025-87224-z,2025,Reliability assessment of accelerated MR sequences for the estimation of structural and vascular markers in dementia,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"o the toolkit. For T2-FLAIR images,Lesion Segmentation Tool (LST), an open-source toolbox for Statistical Parametric Mapping30, was employed to segmen",yes,"lerated MPRAGE protocols against the standard two-fold-accelerated 3T ADNI MPRAGE protocol. Their accelerated protocols included 2D-GRAPPA, CAI",ADNI,Stated ground truth (unspecified),not stated,multi-centre,"(2022). 38. Schnack, H. G. et al. Reliability of brain volumes from multicenter MRI acquisition: A calibration study. Hum. Brain Mapp. 22, 312–320.",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S144,39316090,10.1007/s00234-024-03461-5,2025,Reliability of brain volume measures of accelerated 3D T1-weighted images with deep learning-based reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Expert reader consensus,both stated,multi-centre,"patient population or brain morphology. Hence, further large-scale, multi-center studies employing a diverse range of volumetric software need to be",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S145,41061726,10.1088/1361-6560/ae1110,2025,Res-MoCoDiff: residual-guided diffusion models for motion artifact correction in brain MRI,Algorithmic / methodological reconstruction study,technical validation with reader assessment,Reproducibility & robustness checklist,full text,,728,reclassified from observer/reader design to algorithmic after three-reviewer appraisal of the full text found no human reader,Unclear,The IXI dataset comprises 580 cases of T1-weighted (T1-w) brain MRI images.,"Retrospective convenience use of two public datasets with no stated patient eligibility criteria, sampling frame, or clinical context.",Unclear,"To quantitatively assess the performance of the models in removing brain motion ARTs, we reported three metrics: normalized mean squared error (NMSE), structural similarity index measure (SSIM), and peak signal-to-noise ratio (PSNR).","Evaluation was entirely by automated similarity metrics with no reader interpretation, so blinding and pre-specified diagnostic thresholds cannot be assessed.",Low,"This dataset includes three types of images: ground truth motion-free images, motion-corrupted images with a low level of distortion (level 1), and motion-corrupted images with a high level of distortion (level 2).",Matched motion-free acquisitions (in-vivo) and the original uncorrupted images (in-silico) provide an appropriate paired ground truth applied identically to every case.,Low,"Rigid brain image registration was performed using FSL-FLIRT (Jenkinson and Smith 2001, Jenkinson et al 2002) to compensate for misalignment between the motion-free and motion-corrupted images.",Fully paired design in which every test case has its own reference; the in-silico corruption is applied to the same data so the interval is zero and no cases were dropped.,Unclear,"Additionally, model performance on in-vivo data was evaluated using the MR-ART T1-w brain MRI dataset, which comprises 148 cases (95 females and 53 males).","Only counts and sex are reported; clinical indication, age and presence of pathology are unstated, so match to a clinical brain-MRI population cannot be judged.",High,"It is important to note that our study was conducted in the image domain, rather than in k-space.","The index test is retrospective post-processing of reconstructed magnitude images for motion artefact removal, not an accelerated reconstruction from undersampled acquisition.",Low,"We adapted the motion simulation technique of Duffy et al (2021) to generate an in-silico dataset with varying levels of motion ARTs including high, moderate, and minor","The reference is the clean/motion-free acquisition, which satisfies the review's reference-standard definition, although no expert reading of the reference was performed.",not stated,,yes,"ient data acquisition and data pre-processing This study utilizes two publicly available datasets, namely the IXI dataset (https://brain-development.org/ ixi-datas",IXI;ixi,Stated ground truth (unspecified),both stated,multi-centre,"ages that are universally available in both retrospective studies and multi-center collaborations, enabling wide applic- ability without requiring chang",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S146,40457510,10.1002/mrm.30591,2025,Robust multi-coil MRI reconstruction via self-supervised denoising,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,do not have any conflicts of interest. DATA AVAILABILITY STATEMENT We open-source and release our source code: github.com /utcsilab/gsure-diffusion-mri,yes,"Unbiased Risk Estimate (GSURE)58 and train denoiser networks for the fastMRI dataset.59 Subsequently, in the context of generative models, we demo",FastMRI;M4Raw;fastMRI,Fully sampled acquisition,retrospective,not stated,"taset has an average SNR of 24 dB. For accelerated reconstruction, we retrospectively undersample 100 examples per anatomy using the same pre-processing",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
