file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
2015 - Pharmacokinetic analysis of prostate cancer using independent component analysis. - PMID 26297961.md,26297961,10.1016/j.mri.2015.08.009,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Pharmacokinetic analysis of prostate cancer using independent component analysis
"2015 - Phase 3 efficacy and safety trial of gadobutrol, a 1.0 molar macrocyclic MR imaging contrast agent, in patients referred - PMID 24578298.md",24578298,10.1002/jmri.24583,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,"Phase 3 efficacy and safety trial of gadobutrol, a 1.0 molar macrocyclic MR imag"
2015 - Phase contrast MRI with flow compensation view sharing. - PMID 24532480.md,24532480,10.1002/mrm.25133,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Phase contrast MRI with flow compensation view sharing.
2015 - Phase imaging in brain using SWIFT. - PMID 25625826.md,25625826,10.1016/j.jmr.2014.12.005,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Phase imaging in brain using SWIFT.
2015 - Phase-sensitive dual-inversion recovery for accelerated carotid vessel wall imaging. - PMID 25369853.md,25369853,10.1097/rli.0000000000000110,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Phase-sensitive dual-inversion recovery for accelerated carotid vessel wall imag
2015 - Phased-array of microcoils allows MR microscopy of ex vivo human skin samples at 9.4 T. - PMID 25066249.md,25066249,10.1111/srt.12157,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Phased-array of microcoils allows MR microscopy of ex vivo human skin samples at
2015 - Physical Constraint Finite Element Model for Medical Image Registration. - PMID 26495841.md,26495841,10.1371/journal.pone.0140567,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Physical Constraint Finite Element Model for Medical Image Registration.
2015 - Physiological noise in human cerebellar fMRI. - PMID 25894812.md,25894812,10.1007/s10334-015-0483-6,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Physiological noise in human cerebellar fMRI.
2015 - Pitfalls and Limitations in Simultaneous PET MRI. - PMID 26522396.md,26522396,10.1053/j.semnuclmed.2015.04.002,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Pitfalls and Limitations in Simultaneous PET/MRI.
2015 - Pitfalls in imaging of female infertility. - PMID 26542428.md,26542428,10.1053/j.ro.2015.08.006,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Pitfalls in imaging of female infertility.
2015 - Population Receptive Field Estimation Reveals New Retinotopic Maps in Human Subcortex. - PMID 26156986.md,26156986,10.1523/jneurosci.3840-14.2015,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Population Receptive Field Estimation Reveals New Retinotopic Maps in Human Subc
2015 - Positive contrast high-resolution 3D-cine imaging of the cardiovascular system in small animals using a UTE sequence and - PMID 26149628.md,26149628,10.1186/s12968-015-0167-4,exclude,0.8,wrong_population,Study is animal-only (or ex vivo/animal brain model) with no direct human-brain relevance to reconstruction safety evaluation.,"Animal model (mouse/rat/piglet) or ex vivo tissue, not human brain.",Classical (non-AI) imaging/reconstruction or contrast-agent technique.,Not applicable.,Imaging/technical outcome in an animal model.,Preclinical/animal imaging study.,Positive contrast high-resolution 3D-cine imaging of the cardiovascular system i
2015 - Positron Emission Tomography Magnetic Resonance Imaging for Local Tumor Staging in Patients With Primary Breast Cancer A - PMID 26115367.md,26115367,10.1097/rli.0000000000000197,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Positron Emission Tomography/Magnetic Resonance Imaging for Local Tumor Staging 
2015 - Positron emission tomography magnetic resonance hybrid scanner imaging of cerebral blood flow using (15)O-water positron - PMID 26058699.md,26058699,10.1038/jcbfm.2015.139,exclude,0.8,wrong_population,Study is animal-only (or ex vivo/animal brain model) with no direct human-brain relevance to reconstruction safety evaluation.,"Animal model (mouse/rat/piglet) or ex vivo tissue, not human brain.",Classical (non-AI) imaging/reconstruction or contrast-agent technique.,Not applicable.,Imaging/technical outcome in an animal model.,Preclinical/animal imaging study.,Positron emission tomography/magnetic resonance hybrid scanner imaging of cerebr
2015 - Post-acquisition image based compensation for thickness variation in microscopy section series - IEEEXPLORE 7163922.md,,10.1109/isbi.2015.7163922,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Post-acquisition image based compensation for thickness variation in microscopy 
2015 - Practical PET Respiratory Motion Correction in Clinical PET MR. - PMID 25952740.md,25952740,10.2967/jnumed.114.151779,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Practical PET Respiratory Motion Correction in Clinical PET/MR.
2015 - Practical methods for improving B1+ homogeneity in 3 Tesla breast imaging. - PMID 24723508.md,24723508,10.1002/jmri.24635,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Practical methods for improving B1+ homogeneity in 3 Tesla breast imaging.
2015 - Precise fusion of MRI and dual energy 111In WBC 99mTc HDP SPECT CT in the diabetic foot using companion CT an example of - PMID 25854555.md,25854555,,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Precise fusion of MRI and dual energy 111In WBC/99mTc HDP SPECT/CT in the diabet
2015 - Predictability of magnetic susceptibility artifacts from metallic orthodontic appliances in magnetic resonance imaging. - PMID 25420942.md,25420942,10.1007/s00056-014-0258-0,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Predictability of magnetic susceptibility artifacts from metallic orthodontic ap
2015 - Predicting Prodromal Alzheimer's Disease in Subjects with Mild Cognitive Impairment Using Machine Learning Classificatio - PMID 25644739.md,25644739,10.1111/jon.12214,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Predicting Prodromal Alzheimer's Disease in Subjects with Mild Cognitive Impairm
2015 - Prediction of Longitudinal Development of Infant Cortical Surface Shape Using a 4D Current-Based Learning Framework. - PMID 26221704.md,26221704,10.1007/978-3-319-19992-4_45,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Prediction of Longitudinal Development of Infant Cortical Surface Shape Using a 
2015 - Predictive Models Based on Support Vector Machines Whole-Brain versus Regional Analysis of Structural MRI in the Alzheim - PMID 25291354.md,25291354,10.1111/jon.12163,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Predictive Models Based on Support Vector Machines: Whole-Brain versus Regional 
2015 - Predictive value of diffusion-weighted imaging without and with including contrast-enhanced magnetic resonance imaging i - PMID 25467228.md,25467228,10.1016/j.ejrad.2014.10.015,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Predictive value of diffusion-weighted imaging without and with including contra
2015 - Predictors of schizophrenia spectrum disorders in early-onset first episodes of psychosis a support vector machine model - PMID 25109600.md,25109600,10.1007/s00787-014-0593-0,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Predictors of schizophrenia spectrum disorders in early-onset first episodes of 
2015 - Presurgical evaluation of mesial temporal lobe epilepsy with multiple advanced MR techniques at 3T. - PMID 26024772.md,26024772,10.1016/j.neurad.2015.04.002,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Presurgical evaluation of mesial temporal lobe epilepsy with multiple advanced M
2015 - Primary ovarian endometrioid adenocarcinoma magnetic resonance imaging findings including a preliminary observation on d - PMID 25978592.md,25978592,10.1097/rct.0000000000000210,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Primary ovarian endometrioid adenocarcinoma: magnetic resonance imaging findings
2015 - Probabilistic Maps of Visual Topography in Human Cortex. - PMID 25452571.md,25452571,10.1093/cercor/bhu277,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Probabilistic Maps of Visual Topography in Human Cortex.
2015 - Probabilistic non-linear registration with spatially adaptive regularisation. - PMID 26462231.md,26462231,10.1016/j.media.2015.08.006,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Probabilistic non-linear registration with spatially adaptive regularisation.
2015 - Probing signal phase in direct visualization of short transverse relaxation time component (ViSTa). - PMID 25154599.md,25154599,10.1002/mrm.25416,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Probing signal phase in direct visualization of short transverse relaxation time
2015 - Prognostic role of MR imaging in nonischemic myocardial disease. - PMID 25476677.md,25476677,10.1016/j.mric.2014.09.004,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Prognostic role of MR imaging in nonischemic myocardial disease.
2015 - Properties of a 2D fat navigator for prospective image domain correction of nodding motion in brain MRI. - PMID 24733744.md,24733744,10.1002/mrm.25234,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Properties of a 2D fat navigator for prospective image domain correction of nodd
2015 - Prospective comparison of 3T MRI with diffusion-weighted imaging and MDCT for the preoperative TNM staging of gastric ca - PMID 24677322.md,24677322,10.1002/jmri.24586,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Prospective comparison of 3T MRI with diffusion-weighted imaging and MDCT for th
2015 - Prospective motion correction of segmented diffusion weighted EPI. - PMID 25446934.md,25446934,10.1002/mrm.25547,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Prospective motion correction of segmented diffusion weighted EPI.
2015 - Prostate cancer discrimination in the peripheral zone with a reduced field-of-view T(2)-mapping MRI sequence. - PMID 25687187.md,25687187,10.1016/j.mri.2015.02.006,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Prostate cancer discrimination in the peripheral zone with a reduced field-of-vi
2015 - Prostate magnetic resonance imaging challenges of implementation. - PMID 25073742.md,25073742,10.1067/j.cpradiol.2014.05.009,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Prostate magnetic resonance imaging: challenges of implementation.
2015 - Pulmonary imaging using respiratory motion compensated simultaneous PET MR. - PMID 26133621.md,26133621,10.1118/1.4921616,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Pulmonary imaging using respiratory motion compensated simultaneous PET/MR.
2015 - Pulse Sequences for fMRI - SPRINGER 10.1007_978-1-4899-7591-1_7.md,,10.1007/978-1-4899-7591-1_7,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Pulse Sequences for fMRI
2015 - Qualitative evaluation of fiducial markers for radiotherapy imaging. - PMID 25230715.md,25230715,10.1177/1533034614547447,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Qualitative evaluation of fiducial markers for radiotherapy imaging.
2015 - Quality Assurance in Functional MRI - SPRINGER 10.1007_978-1-4899-7591-1_10.md,,10.1007/978-1-4899-7591-1_10,exclude,0.8,out_of_scope,"Diagnostic, classification, or general review/technical study with no methodological contribution to AI-based reconstruction safety/fidelity evaluation.",Human (or general) imaging subjects/patients.,"Diagnostic imaging, ML-based diagnostic classification, or general narrative review, not reconstruction fidelity evaluation.","Varies (histopathology, clinical outcome, or none).","Diagnostic/classification accuracy or general narrative overview, unrelated to reconstruction safety evaluation.",Diagnostic/classification study or narrative review.,Quality Assurance in Functional MRI
2015 - Quantification of (11)C PIB PET for imaging myelin in the human brain a test-retest reproducibility study in high-resolu - PMID 26058700.md,26058700,10.1038/jcbfm.2015.120,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Quantification of [(11)C]PIB PET for imaging myelin in the human brain: a test-r
2015 - Quantification of Internal Carotid Artery Stenosis with 3D Ultrasound Angiography. - PMID 25607630.md,25607630,10.1055/s-0034-1398749,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Quantification of Internal Carotid Artery Stenosis with 3D Ultrasound Angiograph
"2015 - Quantification of Left Ventricular Linear, Areal and Volumetric Dimensions A Phantom and in Vivo Comparison of 2-D and R - PMID 25837423.md",25837423,10.1016/j.ultrasmedbio.2015.03.001,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,"Quantification of Left Ventricular Linear, Areal and Volumetric Dimensions: A Ph"
2015 - Quantification of cerebral perfusion using dynamic quantitative susceptibility mapping. - PMID 24733457.md,24733457,10.1002/mrm.25257,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Quantification of cerebral perfusion using dynamic quantitative susceptibility m
2015 - Quantification of global cerebral atrophy in multiple sclerosis from 3T MRI using SPM the role of misclassification erro - PMID 25523616.md,25523616,10.1111/jon.12194,exclude,0.8,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET acquisition, reconstruction, or analysis technique for the brain, not an AI-based reconstruction safety/fidelity evaluation method.",Human brain imaging subjects/patients.,"Classical (physics-based/algorithmic, non deep-learning) MRI or PET acquisition/reconstruction/analysis technique.","Alternative classical sequence, algorithm, or acquisition parameter.","Image quality, SNR/CNR, reproducibility, or quantitative parameter accuracy - not reconstruction hallucination/fidelity safety evaluation.",Technical/methodological imaging study.,Quantification of global cerebral atrophy in multiple sclerosis from 3T MRI usin
2015 - Quantification of infarct size and myocardium at risk evaluation of different techniques and its implications. - PMID 25736308.md,25736308,10.1093/ehjci/jev001,exclude,0.8,wrong_population,Study concerns a non-brain anatomical region/organ with no brain-MRI-reconstruction relevance.,Non-brain anatomy/organ (or non-brain-specific) patient/subject population.,"Classical (non-AI) MRI/imaging acquisition, contrast, or analysis technique.",Not applicable / conventional imaging comparison.,"Image quality, diagnostic accuracy, or quantitative imaging metric unrelated to brain reconstruction safety evaluation.",Non-brain imaging technical/clinical study.,Quantification of infarct size and myocardium at risk: evaluation of different t
